"Export time: 8/6/2022, 12:17:36 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Rating Number","Rating","Fees","Rank","Category","ASIN","Link"
"","","71","PERFORMORE 100 Pack of 8.5 x 14 Legal Size Heavyweight Clear Sheet Protectors Plastic Page Protectors Top Load Reinforced Holes Acid-Free and Archival Safe Sheet for Binders Documents","Performore","$14.99","54","1","$809","11/30/2017","$6.95","12","4.7","$8.04","44522","Office Products","B092LP6QBG","https://www.amazon.com/dp/B092LP6QBG"
"","","72","50 Sheet Protectors Heavy Duty 8.5 X 11 Inch Clear Page Protectors for 3 Ring Binder Plastic Sheet Sleeves Durable Top Loading Paper Protector with Reinforced Holes Archival Safe","Performore","$14.97","574","19","$8593","11/30/2017","$7.58","496","4.7","$7.39","14034","Office Products","B0892XX6SY","https://www.amazon.com/dp/B0892XX6SY"
"","","73","Avery Clear Economy Sheet Protectors Top Load 50 Document Protectors (75182)","AVERY","$8.78","34","1","$299","05/31/2009","$4.39","28","4.4","$4.39","43416","Office Products","B002NEGTFQ","https://www.amazon.com/dp/B002NEGTFQ"
"","","74","Sheet Protectors500 PagePage Protector 8.5' x 11' for 2/3/4 Ring Binder Top Loading Paper Protector with Reinforced HolesHolds Multiple SheetsLetter Size.","SMELHA","$25.99","192","6","$4990","09/29/2021","$15.06","144","4.4","$10.93","39650","Office Products","B098NJF363","https://www.amazon.com/dp/B098NJF363"
"","","75","Sooez 30 Pack Heavy Duty Photo Page Protector (3.5x5 240 Photos) Plastic Clear Photo Album Sleeves for 3-Ring Binder Four Pockets Per Page Top Loading Double-Sided","Sooez","$6.99","1950","65","$13631","12/09/2020","$2.87","1108","4.7","$4.12","2358","Office Products","B08Q7746SW","https://www.amazon.com/dp/B08Q7746SW"
"","","76","MaxGear Photo Sleeves for 3 Ring Binder 30 Pack - (4x6 for 180 Photos)Archival Photo Pages Photo Album Refill Pages Photo Sheet Protector Page Protectors 8.5 x 11 Each Page Holds Six 4x6 Pictures","MaxGear","$7.69","1625","54","$12496","09/16/2020","$3.47","1069","4.7","$4.22","6619","Office Products","B08JCBWB91","https://www.amazon.com/dp/B08JCBWB91"
"","","77","8.5 x 14 Paper Sleeves 50 PCS Legal- Size Document Sleeves Landscape Page Protectors for 3 Ring Binder Legal Sheet Protectors Side Loading","tutata","$9.99","...","...","...","07/09/2022","...","0","","","","...","B09ZTYNQLH","https://www.amazon.com/dp/B09ZTYNQLH"
"","","78","9 Pocket Page Protector - 540 Pockets Premium Double Side Trading Card Sleeves Pages for 3 Ring Binder Standard Size Card Sheets Protectors Fit for Sport Cards Coupon Business Cards Pokemon Cards","JIQEZNL","$7.19","2514","83","$18076","01/19/2021","$3.04","1267","4.8","$4.15","3603","Office Products","B08TGR1T6H","https://www.amazon.com/dp/B08TGR1T6H"
"","","79","Trading Card Sleeve - Fit 400 Cards 50 Pages [4 Slots] Double-Sided Clear Card Page Sheet Protectors for 3 Ring Binder | CampFENSE Card Sleeve Compatible with Pokemon YuGiOh Baseball Cards MTG","CampFENSE","$3.95","90","3","$356","06/14/2022","$0.29","0","","$3.66","59505","Office Products","B0B45GVTG9","https://www.amazon.com/dp/B0B45GVTG9"
"","","80","MaxGear Pokemon Card Binder Sleeves Baseball Trading Card Page Protectors 9 Pocket for 3 Ring Binder 30 Pack Heavyweight Sheet Protector Sleeve for Sport Cards Coupon Game Cards Business Cards","MaxGear","$6.49","1967","65","$12766","03/05/2018","$2.45","6513","4.7","$4.04","4819","Office Products","B07B8JV4ZC","https://www.amazon.com/dp/B07B8JV4ZC"
